Nom du Produit en Français;LCI Name;Type de production;Catégorie;Score unique EF3.1 (mPt/kg);Changement climatique (kg CO2 eq/kg);Appauvrissement de la couche d'ozone (kg CFC11 eq/kg);Rayonnements ionisants (kBq U-235 eq/kg);Formation photochimique d’ozone (kg NMVOC eq/kg);Particules (disease inc./kg);Effets toxicologiques sur la santé humaine : substances non-cancérogènes* (CTUh/kg);Effets toxicologiques sur la santé humaine : substances cancérogènes* (CTUh/kg);Acidification terrestre et eaux douces (mol H+ eq/kg);Eutrophisation eaux douces (kg P eq/kg);Eutrophisation marine (kg N eq/kg);Eutrophisation terrestre (mol N eq/kg);Écotoxicité pour écosystèmes aquatiques d’eau douce (CTUe/kg);Utilisation du sol (Pt/kg);Épuisement des ressources en eau (m³ depriv./kg);Épuisement des ressources énergétiques (MJ/kg);Épuisement des ressources en minéraux (kg Sb eq/kg);Changement climatique - émissions biogéniques (kg CO2 eq/kg);Changement climatique - émissions fossiles (kg CO2 eq/kg);Changement climatique - émissions liées au changement d’affectation des sols (kg CO2 eq/kg)
Poule de réforme, biologique, système numéro 1, à la ferme, France;Cull hen, organic, system number 1, at farm gate {FR} U;Elevage;Agricultural\Animal production\Avian\Transformation;1.7410402;9.1190776;1.8866194e-07;1.0321638;0.04354315;2.092752e-06;1.6020193e-07;9.0780469e-09;0.3104802;0.0013043988;0.066984396;1.3690943;308.83788;526.01884;3.6301407;75.964568;3.0903938e-05;0.15036321;6.6087497;2.3599647
Poule de réforme, biologique, système numéro 2, à la ferme, France;Cull hen, organic, system number 2, at farm gate {FR} U;Elevage;Agricultural\Animal production\Avian\Transformation;1.7410402;9.1190776;1.8866194e-07;1.0321638;0.04354315;2.092752e-06;1.6020193e-07;9.0780469e-09;0.3104802;0.0013043988;0.066984396;1.3690943;308.83788;526.01884;3.6301407;75.964568;3.0903938e-05;0.15036321;6.6087497;2.3599647
Vache allaitante de réforme, biologique, vache allaitante système numéro 4, à la ferme, France;Suckler cull cow, organic, suckler cow system number 4, at farm gate {FR} U;Elevage;Agricultural\Animal production\Bovine\Transformation;1.6236277;18.995772;4.0771013e-08;0.391166;0.025501039;1.6233082e-06;2.689592e-07;6.4815596e-09;0.2401918;0.00060915226;0.029858123;1.079945;25.0316206;1488.8245;0.3654221;29.954502;2.059149e-05;16.273752;3.8592441;-1.1372241
Vache de réforme, biologique, système numéro 2, à la ferme, France;Cull cow, organic, milk system number 2, at farm gate {FR} U;Elevage;Agricultural\Animal production\Bovine\Transformation;1.5997851;15.625904;4.0785881e-08;0.26506902;0.02089175;1.8305428e-06;2.1919887e-07;6.5074407e-09;0.26567899;0.00060691038;0.030835835;1.2006228;21.8157163;1551.0377;0.50755891;24.457663;1.9524413e-05;13.130909;3.7306243;-1.2356294
Vache allaitante de réforme, biologique, vache allaitante système numéro 1, à la ferme, France;Suckler cull cow, organic, suckler cow system number 1, at farm gate {FR} U;Elevage;Agricultural\Animal production\Bovine\Transformation;1.5562085;19.036484;3.4907665e-08;0.38322125;0.024149787;1.5439072e-06;2.9173667e-07;6.6364634e-09;0.22794526;0.00054248799;0.034767477;1.0293759;23.8263362;1201.3823;0.40190685;24.337479;1.6219291e-05;16.423912;3.4524817;-0.83990998
Vache de réforme, biologique, système numéro 1, à la ferme, France;Cull cow, organic, milk system number 1, at farm gate {FR} U;Elevage;Agricultural\Animal production\Bovine\Transformation;1.3720945999999998;14.681708;3.3546615e-08;0.21173893;0.018074422;1.5357343e-06;1.7533147e-07;4.9079837e-09;0.22550852;0.00041289901;0.022266521;1.009656;18.7949882;1199.1701;0.50309301;21.561607;1.5564292e-05;12.533824;3.157068;-1.0091841
Boeuf, biologique, moyenne nationale, à la ferme, France;Beef cattle, organic, national average, at farm gate {FR} U;Elevage;Agricultural\Animal production\Bovine\Transformation;1.3424946;15.58029;3.3092834e-08;0.28408833;0.018969133;1.3748645e-06;1.9689238e-07;5.131504e-09;0.19934103;0.00052365122;0.031814387;0.90327126;21.8794414;1163.2483;0.49635463;22.366324;1.630965e-05;12.671983;3.2532751;-0.34496803
Vache allaitante de réforme, biologique, vache allaitante système numéro 2, à la ferme, France;Suckler cull cow, organic, suckler cow system number 2, at farm gate {FR} U;Elevage;Agricultural\Animal production\Bovine\Transformation;1.1969312;14.606993;3.2014356e-08;0.20806331;0.018689531;1.1329906e-06;2.0407788e-07;4.998526e-09;0.16586905;0.00056284882;0.025779842;0.74614021;38.0167724;1113.2468;0.28976776;21.976308;1.5079148e-05;12.298829;2.9854124;-0.67724841
Vache de réforme, biologique, système numéro 4, à la ferme, France;Cull cow, organic, milk system number 4, at farm gate {FR} U;Elevage;Agricultural\Animal production\Bovine\Transformation;1.0933319;13.07338;2.4745002e-08;0.16171794;0.012623709;1.1338861e-06;9.0992549e-08;3.690876e-09;0.16414687;0.0005295524;0.021908798;0.73563644;15.0099015;1004.1761;0.40105541;15.536634;1.5754377e-05;9.2435714;2.6245547;1.2052537
Brebis Réforme, biologique, système numéro 2, à la ferme, France;Cull ewe, organic, system number 2, at farm gate {FR} U;Elevage;Agricultural\Animal production\Ovine\Transformation;1.0479523000000002;13.287547;2.1183109e-08;0.072320433;0.018994567;6.0806679e-07;2.3293351e-07;7.3847479e-09;0.092167284;0.00076745201;0.052591464;0.42813416;10.829013199999999;2094.3344;0.14650082;11.103075;1.0817546e-05;12.726692;1.9292779;-1.3684225
Agneau, biologique, système numéro 1, à la ferme, France;Lamb, organic, system number 1, at farm gate {FR} U;Elevage;Agricultural\Animal production\Ovine\Transformation;1.0333412;14.974387;2.7087054e-08;0.082152352;0.011972985;7.5140027e-07;5.9392327e-08;3.227369e-09;0.10951539;0.00041437254;0.043399513;0.48966702;12.080110999999999;1416.1044;0.17237916;15.564813;1.2502953e-05;12.038656;2.371308;0.56442383
Vache de réforme, biologique, système laitier de plaine, ensillage de maïs 5 à 10%, à la ferme, France;Cull cow, organic, lowland milk system, silage maize 5 to 10%, at farm gate {FR} U;Elevage;Agricultural\Animal production\Bovine\Transformation;1.0139921;10.721939;3.7890376e-08;0.17809415;0.013829967;1.0695868e-06;1.4313865e-07;3.4745435e-09;0.15673548;0.00036483011;0.040441096;0.70444654;14.037735399999999;815.16905;0.34354833;16.439443;1.1226361e-05;7.2802417;2.5703836;0.87131401
Vache de réforme, biologique, système numéro 5, à la ferme, France;Cull cow, organic, milk system number 5, at farm gate {FR} U;Elevage;Agricultural\Animal production\Bovine\Transformation;0.89999291;9.8781235;2.1027113e-08;0.15041586;0.012548748;9.0687757e-07;1.3696282e-07;3.8033302e-09;0.13304584;0.00046680363;0.035607447;0.59746238;12.227910000000001;730.14181;0.33045166;13.503037;1.4155804e-05;6.8986414;2.1167014;0.86278067
Agneau, biologique, système numéro 2, à la ferme, France;Lamb, organic, system number 2, at farm gate {FR} U;Elevage;Agricultural\Animal production\Ovine\Transformation;0.83155625;10.189414;2.0132069e-08;0.065657127;0.014929517;5.6029324e-07;1.6262828e-07;5.3157711e-09;0.083890919;0.00060938672;0.038753743;0.38671663;9.770894;1448.5322;0.20633849;10.780414;1.0103698e-05;9.2618354;1.7452995;-0.81772116
Vache de réforme, biologique, système numéro 3, à la ferme, France;Cull cow, organic, milk system number 3, at farm gate {FR} U;Elevage;Agricultural\Animal production\Bovine\Transformation;0.8001794799999999;8.1432166;2.2719327e-08;0.13285768;0.01227865;9.3142733e-07;1.0267064e-07;2.6574929e-09;0.13730183;0.00023013128;0.017043453;0.61599004;11.7176312;529.78422;0.18453592;14.84201;9.3179058e-06;6.5008406;2.0382584;-0.3958824
Poule de réforme, biologique, à la ferme, France;Cull hen, organic, at farm gate {FR} U;Elevage;Agricultural\Animal production\Avian\Transformation;0.79796395;4.7402598;1.157467e-07;0.72799885;0.020038232;8.9748606e-07;7.1766911e-08;4.4718931e-09;0.1319643;0.00062667044;0.027797181;0.57852295;128.828457;223.51057;1.551381;50.647003;1.6380661e-05;0.062054508;3.7142645;0.96394074
Brebis Réforme, biologique, système numéro 1, à la ferme, France;Cull ewe, organic, system number 1, at farm gate {FR} U;Elevage;Agricultural\Animal production\Ovine\Transformation;0.7497272;11.891832;1.9391906e-08;0.060096754;0.008711063;4.295361e-07;5.0852962e-08;2.7395397e-09;0.06248232;0.00034655338;0.035405457;0.27979308;8.2358916;1187.9188;0.11363992;11.046541;9.2410135e-06;9.7519704;1.6287376;0.51112382
Poulet, biologique, système numéro 1, à la ferme, France;Broiler, organic, system number 2, at farm gate {FR} U;Elevage;Agricultural\Animal production\Avian\Transformation;0.74074593;4.4709294;4.8765844e-08;0.34179381;0.02027892;8.5712314e-07;1.0176886e-07;6.078742e-09;0.10655749;0.0011288618;0.04294289;0.55607142;18.9387266;539.00453;2.0231877;24.627379;9.8786067e-06;0.87064124;3.2082935;0.39199468
Poulet, biologique, système numéro 2, à la ferme, France;Broiler, organic, system number 1, at farm gate {FR} U;Elevage;Agricultural\Animal production\Avian\Transformation;0.72019466;4.2280699;5.0711563e-08;0.34566474;0.019754002;8.3450455e-07;1.0064549e-07;5.6358728e-09;0.10628482;0.0010711963;0.039912919;0.54423501;21.9910298;502.90673;2.0970687;24.837838;1.0659078e-05;0.76596899;3.0566744;0.40542648
Porc engraissé, biologique, système numéro 4, à la ferme, France;Pig, organic, system number 4, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;0.6947087900000001;6.9732185;2.2497394e-08;0.22092905;0.0079156912;7.3715078e-07;8.7022239e-08;3.6772452e-09;0.093059374;0.00083620081;0.038256448;0.45608544;10.265339;521.82178;0.63011173;14.031656;9.8730173e-06;2.7308103;3.7282148;0.51419351
Porc moyen (97% porc, 3% truie de réforme), biologique, moyenne nationale (50% intérieur, 50% extérieur), à la ferme, France;Mixt pig, organic, national average, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;0.6566448699999999;6.3224351;2.8950467e-08;0.54164278;0.00690765;7.0179318e-07;6.6266462e-08;2.6139374e-09;0.092871006;0.00072577093;0.032060301;0.43570136;9.4688648;480.92237;0.57107103;22.07895;7.5248401e-06;2.2168181;3.5839991;0.52161801
Porc engraissé, biologique, système numéro 2, à la ferme, France;Pig, organic, system number 2, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;0.60864681;5.7243735;2.05799e-08;0.15147953;0.006806752;6.307736e-07;3.9142314e-08;2.8568835e-09;0.078707176;0.00089249998;0.033771708;0.38763233;19.914683;632.90112;0.59100821;12.5084;9.1579801e-06;1.9317783;3.2467449;0.54585023
Poulet, biologique, à la ferme, France;Broiler, organic, at farm gate {FR} U;Elevage;Agricultural\Animal production\Avian\Transformation;0.59595592;2.9846191;4.2644397e-08;0.38676437;0.011009517;7.0605253e-07;9.8995474e-08;3.5329696e-09;0.093618686;0.0007645607;0.03049133;0.44476034;23.942531000000002;415.99783;3.2959517;24.261875;7.7695253e-06;0.33157051;2.3032832;0.34976541
Porc engraissé, biologique, en intérieur, à la ferme, France;Pig, organic, indoor system, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;0.58835875;5.8120975;2.5799481e-08;0.47601464;0.0061714766;6.3039547e-07;5.8389284e-08;2.2666587e-09;0.083767742;0.00062904197;0.027137594;0.39245322;8.374325899999999;417.15751;0.49162854;19.395907;6.5425486e-06;2.0572872;3.3062655;0.44854478
Porc, biologique, moyenne nationale (50% intérieur, 50% extérieur), à la ferme, France;Pig, organic, national average, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;0.5807865799999999;5.6329806;2.5716206e-08;0.47419235;0.0060669463;6.2475269e-07;5.812559e-08;2.2640682e-09;0.082923574;0.00062871703;0.027379216;0.38866233;8.323471099999999;417.05622;0.49134789;19.319087;6.5096194e-06;1.9365675;3.2478694;0.44854367
Porc engraissé, biologique, en extérieur, à la ferme, France;Pig, organic, outdoor system, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;0.5732144100000001;5.4538636;2.5632931e-08;0.47237006;0.005962416;6.1910991e-07;5.7861896e-08;2.2614778e-09;0.082079406;0.00062839209;0.027620838;0.38487144;8.2726164;416.95492;0.49106725;19.242267;6.4766902e-06;1.8158477;3.1894733;0.44854256
Porc engraissé, biologique, système numéro 3, à la ferme, France;Pig, organic, system number 3, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;0.54600018;5.3722197;1.8381344e-08;0.15360038;0.0064366507;5.6642572e-07;7.0063691e-08;3.0108527e-09;0.070930703;0.00067569567;0.031298462;0.34998613;8.1128287;477.88678;0.56768717;10.908003;7.4680422e-06;2.087084;2.8679946;0.41714119
Porc engraissé, biologique, système numéro 1, à la ferme, France;Pig, organic, system number 1, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;0.52869734;4.9383018;1.7530745e-08;0.13229214;0.0045516278;5.6095682e-07;5.6994692e-08;2.2594288e-09;0.072768268;0.00065811632;0.029714607;0.35224059;8.3653449;538.18133;0.22264747;8.7944791;7.7996057e-06;1.7030191;2.7180653;0.51721746
Laine, biologique, système numéro 3, à la ferme, France;Wool, organic, system number 3, at farm gate {FR} U;Elevage;Agricultural\Animal production\Ovine\Transformation;0.5025176600000001;2.8079045;6.2687254e-09;0.019409631;0.0051169447;3.7257802e-07;8.4863604e-08;3.7773632e-09;0.054138557;0.00035362015;0.044331097;0.24861773;4.54714322;1560.2208;0.0507145;2.9199707;2.0487649e-06;3.3232878;0.83275245;-1.3481358
Oeuf, biologique, système numéro 2, à la ferme, France;Egg, organic, system number 2, at farm gate {FR} U;Elevage;Agricultural\Animal production\Avian\Transformation;0.48203787;3.029077;2.4673244e-08;0.29916778;0.0084278461;5.5924814e-07;7.2570632e-08;4.261421e-09;0.064668485;0.00082597579;0.029077111;0.33771405;15.6662488;374.55481;1.6471859;16.205315;7.0097474e-06;0.67578192;2.0797879;0.27350718
Oeuf, biologique, système numéro 1, à la ferme, France;Egg, organic, system number 1, at farm gate {FR} U;Elevage;Agricultural\Animal production\Avian\Transformation;0.46934048;2.8770334;2.6489868e-08;0.30531572;0.0078803125;5.3576693e-07;7.1533406e-08;3.8982054e-09;0.062955453;0.00078329885;0.029160053;0.32402697;17.6344306;370.67242;1.7109301;16.303181;7.6431294e-06;0.59934909;1.9781538;0.29953049
Oeuf, biologique, à la ferme, France;Egg, organic, at farm gate {FR} U;Elevage;Agricultural\Animal production\Avian\Transformation;0.37423294;2.0949326;2.1145928e-08;0.32232096;0.0062920235;3.9941411e-07;8.2675564e-08;2.7902949e-09;0.049301193;0.0006268404;0.023115543;0.24102783;8.2790046;350.38714;1.9128514;15.536508;5.7969582e-06;0.28714047;1.5160235;0.29176863
Soja, biologique, à la ferme, Chine;Soybean grain, organic, at farm gate {CN} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.28034869;3.2214549;2.7521074e-09;0.047156657;0.0029254958;3.9895567e-07;9.8556735e-09;2.5842952e-09;0.020491073;0.00045415035;0.013638356;0.21471311;3.5456685500000003;195.47296;0.107477;2.3862919;1.1893276e-06;1.1939892;2.0187015;0.0087641497
Laine, biologique, système numéro 2, à la ferme, France;Wool, organic, system number 2, at farm gate {FR} U;Elevage;Agricultural\Animal production\Ovine\Transformation;0.23325084000000001;2.761329;5.5684647e-09;0.018605478;0.0042102662;1.5336419e-07;4.8529552e-08;1.5825317e-09;0.023023345;0.00017595347;0.011417215;0.1063545;2.71170151;436.43943;0.050922315;2.9611865;2.8604752e-06;2.536006;0.48442544;-0.25910244
Noix, coque séchés, les variétés traditionnelles, biologique, à la ferme, France;Walnut, dried inshell, traditional varieties, organic, at farm gate {FR} U;Culture;Agricultural\Plant production\Nuts\Transformation;0.22483569;1.4114542;3.8761259e-08;0.22578993;0.0073349796;2.7818032e-08;4.3280876e-08;1.2706735e-09;0.0074982971;0.00023393146;0.0091034547;0.030265712;6.831681;470.99465;4.5182102;19.616254;1.9440454e-05;0.00033140084;1.4108208;0.00030195147
Système de culture numéro 4, biologique, à la ferme, France;Cropping system number 4, organic, at farm gate {FR} U;Culture;Agricultural\Plant production\Cropping systems\Transformation;0.21589506;1.7089215;7.0202392e-09;0.14460307;0.0030481689;2.1129757e-07;5.2187604e-08;9.8838695e-10;0.015346836;0.00044233097;0.013220957;0.12037316;3.53735982;224.71056;2.3512125;6.323692;3.2424975e-06;0.50496102;1.1833115;0.020648987
Soja, biologique, système numéro 2, à la ferme, France;Soybean grain, organic, system number 2, at farm gate {FR} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.21098591;1.8335414;7.3259478e-09;0.17215031;0.002488837;1.8039543e-07;5.8383791e-09;2.6948487e-10;0.012328375;0.00045322339;0.016554726;0.10057098;3.48003554;208.91747;3.1927793;7.077134;3.8593726e-06;0.45105392;1.1413446;0.24114289
Lupin bleu, biologique, à la ferme, France;Blue lupine, organic, at farm gate {FR} U;Culture;Agricultural\Plant production\Roughage\Transformation;0.20286623;1.9794312;5.4468484e-09;0.027914419;0.001914556;1.4644884e-07;2.9684816e-08;3.1591485e-09;0.0073581369;0.00057750718;0.020219728;0.078334576;3.32465838;422.57639;0.017242975;3.4760197;2.4707903e-06;0.44838317;1.0364587;0.49458939
Soja, biologique, système numéro 1, à la ferme, France;Soybean grain, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.20071661999999998;1.7722743;5.5269623e-09;0.16702942;0.0022254705;1.7775613e-07;4.3652928e-09;2.244771e-10;0.011969859;0.00052976429;0.010876764;0.099417808;2.29119211;241.07389;3.1837594;6.0377533;3.0712314e-06;0.45101704;1.0390149;0.28224237
Féverole de printemps, biologique, système numéro 2, à la ferme, France;Spring faba bean, organic, system number 2, at farm gate {FR} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.19481752;1.8555766;6.1298529e-09;0.027938429;0.0022195132;1.6293337e-07;4.0472114e-09;5.366261e-10;0.010744454;0.000626422;0.023035298;0.091011475;2.71918918;293.39582;0.017241257;3.8321907;2.6206849e-06;0.42281809;1.0894426;0.34331593
Féverole d'hiver, biologique, système numéro 1, à la ferme, France;Winter faba bean, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.19472784;1.8871444;2.0301881e-08;0.055840257;0.0029832688;2.0321433e-07;3.7089082e-09;3.31016e-10;0.014815344;0.00046400105;0.020671391;0.11518021;2.3064963;191.05355;0.013108307;3.8536986;1.6789136e-06;0.48532026;1.1783526;0.2234715
Tournesol, biologique, système numéro 2, à la ferme, France;Sunflower grain, organic, system number 2, at farm gate {FR} U;Culture;Agricultural\Plant production\Oil seeds\Transformation;0.18815065;1.8256708;6.4895486e-09;0.030130345;0.0023662261;1.7065929e-07;3.6347956e-08;3.3436935e-09;0.011886072;0.00055545723;0.012620882;0.096035352;4.4047548999999995;274.12074;0.02244501;4.0369596;2.9582265e-06;0.42299744;1.0850306;0.31764277
Tournesol, biologique, système numéro 5, à la ferme, France;Sunflower grain, organic, system number 5, at farm gate {FR} U;Culture;Agricultural\Plant production\Oil seeds\Transformation;0.18603946;1.6887793;8.2089154e-09;0.03188255;0.0027605898;1.4823643e-07;6.9290452e-09;2.1609501e-10;0.012555604;0.00079994454;0.014775518;0.086297095;5.51788175;312.51032;0.037217093;4.9764405;3.8239343e-06;0.30279586000000003;1.0290133;0.35697011
Laine, biologique, système numéro 1, à la ferme, France;Wool, organic, system number 1, at farm gate {FR} U;Elevage;Agricultural\Animal production\Ovine\Transformation;0.1850959;2.8048098;5.7190137e-09;0.017889783;0.0023423534;1.1458354e-07;1.1680995e-08;6.487516e-10;0.016729569;8.4390758e-05;0.0084152155;0.074786279;2.27702048;280.01672;0.038568792;3.2817157;2.7392699e-06;2.24724;0.45344771;0.10412212
Soja, biologique, à la ferme, Inde;Soybean grain, organic, at farm gate {IN} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.17649472;0.5804622;3.6480787e-09;0.019749619;0.0025241935;1.2185552e-07;3.2725921e-08;3.6868451e-09;0.018922172;0.00063889444;0.029672045;0.085451395;2.69552638;275.37987;0.25897945;2.4054072;1.5496811e-06;4.3371444e-05;0.55813637;0.022282462
Blé d'hiver, biologique, système numéro 7, à la ferme, France;Winter wheat, organic, system number 7, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.16656511;1.5094199;5.3048711e-09;0.046112783;0.0030384806;1.8401914e-07;1.1185227e-07;1.8631561e-09;0.014820556;0.00018733226;0.0072531869;0.10826511;3.2712863199999997;137.06626;0.01876678;3.4741967;1.6067092e-06;0.40060738;0.95078882;0.15802369
Système de culture numéro 7, biologique, à la ferme, France;Cropping system number 7, organic, at farm gate {FR} U;Culture;Agricultural\Plant production\Cropping systems\Transformation;0.15952872;1.3108775;5.081326e-09;0.024595741;0.0021017082;1.5462058e-07;3.2386698e-08;1.7415666e-09;0.010958144;0.00046390578;0.013234425;0.087790838;2.8862540599999997;242.62204;0.014696813;3.2014311;2.2767855e-06;0.37963265;0.90696364;0.024281243
Orge de printemps, biologique, système numéro 1, à la ferme, France;Spring barley, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.15672912;1.3428849;4.5900412e-09;0.020951732;0.0020456349;1.4232092e-07;1.0651096e-07;1.6904445e-09;0.011593703;0.00017431777;0.012119893;0.083249344;2.93479399;195.59491;0.012863311;2.8617407;2.0270469e-06;0.30578818;0.80830237;0.22879436
Système de culture numéro 6, biologique, à la ferme, France;Cropping system number 6, organic, at farm gate {FR} U;Culture;Agricultural\Plant production\Cropping systems\Transformation;0.15626474;1.2235125;2.4566146e-08;0.11740053;0.0026866955;1.5261583e-07;5.4919104e-08;1.6285222e-09;0.012223224;0.00042406186;0.010274908;0.087104053;2.6013730500000003;148.27305;0.77719727;5.0864261;1.98975e-06;0.33088586;0.87757235;0.015054336
Soja, biologique, système numéro 5, à la ferme, France;Soybean grain, organic, system number 5, at farm gate {FR} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.15414671000000002;1.1060243;4.6345166e-09;0.23776593;0.0015271375;1.064489e-07;3.7931059e-09;1.7797507e-10;0.0072004566;0.00033995303;0.0086955027;0.059251056;1.56801771;129.60899;5.0006594;6.8016446;2.9059466e-06;0.26973889;0.68470341;0.15158199
